"Label (Grouping)","Median household income in the past 12 months (in 2017 inflation-adjusted dollars)"
"Census Tract 1, District of Columbia, District of Columbia",""
"    Estimate","168,477"
"Census Tract 2.01, District of Columbia, District of Columbia",""
"    Estimate","-"
"Census Tract 2.02, District of Columbia, District of Columbia",""
"    Estimate","162,981"
"Census Tract 3, District of Columbia, District of Columbia",""
"    Estimate","133,008"
"Census Tract 4, District of Columbia, District of Columbia",""
"    Estimate","143,229"
"Census Tract 5.01, District of Columbia, District of Columbia",""
"    Estimate","109,081"
"Census Tract 5.02, District of Columbia, District of Columbia",""
"    Estimate","129,779"
"Census Tract 6, District of Columbia, District of Columbia",""
"    Estimate","221,103"
"Census Tract 7.01, District of Columbia, District of Columbia",""
"    Estimate","89,889"
"Census Tract 7.02, District of Columbia, District of Columbia",""
"    Estimate","71,671"
"Census Tract 8.01, District of Columbia, District of Columbia",""
"    Estimate","148,456"
"Census Tract 8.02, District of Columbia, District of Columbia",""
"    Estimate","99,808"
"Census Tract 9.01, District of Columbia, District of Columbia",""
"    Estimate","242,208"
"Census Tract 9.02, District of Columbia, District of Columbia",""
"    Estimate","205,469"
"Census Tract 10.01, District of Columbia, District of Columbia",""
"    Estimate","164,180"
"Census Tract 10.02, District of Columbia, District of Columbia",""
"    Estimate","99,167"
"Census Tract 11, District of Columbia, District of Columbia",""
"    Estimate","154,156"
"Census Tract 12, District of Columbia, District of Columbia",""
"    Estimate","125,179"
"Census Tract 13.01, District of Columbia, District of Columbia",""
"    Estimate","134,282"
"Census Tract 13.02, District of Columbia, District of Columbia",""
"    Estimate","113,300"
"Census Tract 14.01, District of Columbia, District of Columbia",""
"    Estimate","120,526"
"Census Tract 14.02, District of Columbia, District of Columbia",""
"    Estimate","111,361"
"Census Tract 15, District of Columbia, District of Columbia",""
"    Estimate","205,159"
"Census Tract 16, District of Columbia, District of Columbia",""
"    Estimate","169,250"
"Census Tract 17.02, District of Columbia, District of Columbia",""
"    Estimate","91,711"
"Census Tract 18.03, District of Columbia, District of Columbia",""
"    Estimate","51,182"
"Census Tract 18.04, District of Columbia, District of Columbia",""
"    Estimate","42,579"
"Census Tract 19.01, District of Columbia, District of Columbia",""
"    Estimate","82,963"
"Census Tract 19.02, District of Columbia, District of Columbia",""
"    Estimate","89,583"
"Census Tract 20.01, District of Columbia, District of Columbia",""
"    Estimate","63,060"
"Census Tract 20.02, District of Columbia, District of Columbia",""
"    Estimate","87,256"
"Census Tract 21.01, District of Columbia, District of Columbia",""
"    Estimate","54,359"
"Census Tract 21.02, District of Columbia, District of Columbia",""
"    Estimate","76,836"
"Census Tract 22.01, District of Columbia, District of Columbia",""
"    Estimate","65,069"
"Census Tract 22.02, District of Columbia, District of Columbia",""
"    Estimate","54,817"
"Census Tract 23.01, District of Columbia, District of Columbia",""
"    Estimate","118,750"
"Census Tract 23.02, District of Columbia, District of Columbia",""
"    Estimate","60,417"
"Census Tract 24, District of Columbia, District of Columbia",""
"    Estimate","105,189"
"Census Tract 25.01, District of Columbia, District of Columbia",""
"    Estimate","59,141"
"Census Tract 25.02, District of Columbia, District of Columbia",""
"    Estimate","73,464"
"Census Tract 26, District of Columbia, District of Columbia",""
"    Estimate","181,875"
"Census Tract 27.01, District of Columbia, District of Columbia",""
"    Estimate","72,308"
"Census Tract 27.02, District of Columbia, District of Columbia",""
"    Estimate","78,976"
"Census Tract 28.01, District of Columbia, District of Columbia",""
"    Estimate","53,568"
"Census Tract 28.02, District of Columbia, District of Columbia",""
"    Estimate","59,811"
"Census Tract 29, District of Columbia, District of Columbia",""
"    Estimate","103,700"
"Census Tract 30, District of Columbia, District of Columbia",""
"    Estimate","67,457"
"Census Tract 31, District of Columbia, District of Columbia",""
"    Estimate","94,939"
"Census Tract 32, District of Columbia, District of Columbia",""
"    Estimate","92,375"
"Census Tract 33.01, District of Columbia, District of Columbia",""
"    Estimate","121,250"
"Census Tract 33.02, District of Columbia, District of Columbia",""
"    Estimate","112,426"
"Census Tract 34, District of Columbia, District of Columbia",""
"    Estimate","88,772"
"Census Tract 35, District of Columbia, District of Columbia",""
"    Estimate","87,813"
"Census Tract 36, District of Columbia, District of Columbia",""
"    Estimate","93,734"
"Census Tract 37, District of Columbia, District of Columbia",""
"    Estimate","79,440"
"Census Tract 38, District of Columbia, District of Columbia",""
"    Estimate","98,093"
"Census Tract 39, District of Columbia, District of Columbia",""
"    Estimate","97,557"
"Census Tract 40.01, District of Columbia, District of Columbia",""
"    Estimate","118,988"
"Census Tract 40.02, District of Columbia, District of Columbia",""
"    Estimate","102,455"
"Census Tract 41, District of Columbia, District of Columbia",""
"    Estimate","143,586"
"Census Tract 42.01, District of Columbia, District of Columbia",""
"    Estimate","114,205"
"Census Tract 42.02, District of Columbia, District of Columbia",""
"    Estimate","105,978"
"Census Tract 43, District of Columbia, District of Columbia",""
"    Estimate","95,000"
"Census Tract 44, District of Columbia, District of Columbia",""
"    Estimate","166,071"
"Census Tract 46, District of Columbia, District of Columbia",""
"    Estimate","98,698"
"Census Tract 47.01, District of Columbia, District of Columbia",""
"    Estimate","40,378"
"Census Tract 47.02, District of Columbia, District of Columbia",""
"    Estimate","101,891"
"Census Tract 48.01, District of Columbia, District of Columbia",""
"    Estimate","109,601"
"Census Tract 48.02, District of Columbia, District of Columbia",""
"    Estimate","67,409"
"Census Tract 49.01, District of Columbia, District of Columbia",""
"    Estimate","103,500"
"Census Tract 49.02, District of Columbia, District of Columbia",""
"    Estimate","87,083"
"Census Tract 50.01, District of Columbia, District of Columbia",""
"    Estimate","138,295"
"Census Tract 50.02, District of Columbia, District of Columbia",""
"    Estimate","87,969"
"Census Tract 52.01, District of Columbia, District of Columbia",""
"    Estimate","114,271"
"Census Tract 53.01, District of Columbia, District of Columbia",""
"    Estimate","90,402"
"Census Tract 55, District of Columbia, District of Columbia",""
"    Estimate","79,306"
"Census Tract 56, District of Columbia, District of Columbia",""
"    Estimate","83,365"
"Census Tract 58, District of Columbia, District of Columbia",""
"    Estimate","137,259"
"Census Tract 59, District of Columbia, District of Columbia",""
"    Estimate","101,553"
"Census Tract 62.02, District of Columbia, District of Columbia",""
"    Estimate","-"
"Census Tract 64, District of Columbia, District of Columbia",""
"    Estimate","19,459"
"Census Tract 65, District of Columbia, District of Columbia",""
"    Estimate","125,536"
"Census Tract 66, District of Columbia, District of Columbia",""
"    Estimate","134,911"
"Census Tract 67, District of Columbia, District of Columbia",""
"    Estimate","140,054"
"Census Tract 68.01, District of Columbia, District of Columbia",""
"    Estimate","89,327"
"Census Tract 68.02, District of Columbia, District of Columbia",""
"    Estimate","156,042"
"Census Tract 68.04, District of Columbia, District of Columbia",""
"    Estimate","156,583"
"Census Tract 69, District of Columbia, District of Columbia",""
"    Estimate","144,063"
"Census Tract 70, District of Columbia, District of Columbia",""
"    Estimate","124,583"
"Census Tract 71, District of Columbia, District of Columbia",""
"    Estimate","72,109"
"Census Tract 72, District of Columbia, District of Columbia",""
"    Estimate","109,605"
"Census Tract 73.01, District of Columbia, District of Columbia",""
"    Estimate","84,009"
"Census Tract 73.04, District of Columbia, District of Columbia",""
"    Estimate","32,428"
"Census Tract 74.01, District of Columbia, District of Columbia",""
"    Estimate","14,566"
"Census Tract 74.03, District of Columbia, District of Columbia",""
"    Estimate","25,761"
"Census Tract 74.04, District of Columbia, District of Columbia",""
"    Estimate","42,439"
"Census Tract 74.06, District of Columbia, District of Columbia",""
"    Estimate","24,688"
"Census Tract 74.07, District of Columbia, District of Columbia",""
"    Estimate","34,410"
"Census Tract 74.08, District of Columbia, District of Columbia",""
"    Estimate","21,728"
"Census Tract 74.09, District of Columbia, District of Columbia",""
"    Estimate","38,107"
"Census Tract 75.02, District of Columbia, District of Columbia",""
"    Estimate","27,003"
"Census Tract 75.03, District of Columbia, District of Columbia",""
"    Estimate","26,250"
"Census Tract 75.04, District of Columbia, District of Columbia",""
"    Estimate","17,077"
"Census Tract 76.01, District of Columbia, District of Columbia",""
"    Estimate","34,840"
"Census Tract 76.03, District of Columbia, District of Columbia",""
"    Estimate","49,435"
"Census Tract 76.04, District of Columbia, District of Columbia",""
"    Estimate","54,338"
"Census Tract 76.05, District of Columbia, District of Columbia",""
"    Estimate","33,659"
"Census Tract 77.03, District of Columbia, District of Columbia",""
"    Estimate","26,020"
